# timestamp tx ty tz qx qy qz qw
1317354879.232045 0.569144 4.394399 -0.479262 0.000000 0.000000 0.000000 1.000000
1317354879.336300 0.608114 4.567611 -0.480241 0.000000 0.000000 0.624701 0.780864
1317354879.440555 0.667457 4.788848 -0.478015 0.000000 0.000000 0.608657 0.793433
1317354879.544786 0.731818 5.007163 -0.478939 0.000000 0.000000 0.598841 0.800868
1317354879.649015 0.818718 5.115087 -0.484581 0.000000 0.000000 0.431766 0.901986
1317354879.753268 0.918917 5.349591 -0.496013 0.000000 0.000000 0.550945 0.834541
1317354879.857522 0.988955 5.316853 -0.498168 0.000000 0.000000 -0.216893 0.976195
1317354879.961802 0.902605 5.207070 -0.502707 0.000000 0.000000 -0.899507 0.436905
1317354880.066081 0.823691 5.126846 -0.510462 0.000000 0.000000 -0.922296 0.386484
1317354880.170336 0.835833 4.948830 -0.520263 0.000000 0.000000 -0.682625 0.730769
1317354880.274591 0.804706 4.638903 -0.523519 0.000000 0.000000 -0.741596 0.670847
1317354880.378847 0.725307 4.424924 -0.529794 0.000000 0.000000 -0.820939 0.571015
1317354880.483101 0.532418 4.181744 -0.536465 0.000000 0.000000 -0.900400 0.435064
1317354880.587355 0.145472 4.068261 -0.541238 0.000000 0.000000 -0.989844 0.142156
1317354880.691610 -0.389968 3.903987 -0.537851 0.000000 0.000000 -0.988943 0.148294
1317354880.795864 -0.795056 3.798059 -0.542383 0.000000 0.000000 -0.991834 0.127534
1317354880.900118 -0.874735 3.774179 -0.545679 0.000000 0.000000 -0.989420 0.145082
1317354881.004373 -0.937633 3.897570 -0.546604 0.000000 0.000000 0.852685 0.522425
1317354881.108603 -1.008979 3.895555 -0.538249 0.000000 0.000000 -0.999900 0.014119
1317354881.212835 -1.329109 3.941116 -0.536682 0.000000 0.000000 0.997503 0.070627
1317354881.317115 -1.873152 3.984473 -0.534720 0.000000 0.000000 0.999210 0.039752
1317354881.421394 -2.345949 4.074477 -0.535575 0.000000 0.000000 0.995580 0.093918
1317354881.525649 -2.622872 4.300345 -0.527513 0.000000 0.000000 0.942052 0.335467
1317354881.629903 -2.782465 4.482930 -0.517701 0.000000 0.000000 0.910525 0.413454
1317354881.734157 -2.851420 4.856269 -0.508555 0.000000 0.000000 0.768643 0.639677
1317354881.838412 -2.864919 5.127320 -0.494058 0.000000 0.000000 0.724479 0.689297
1317354881.942655 -2.767185 5.416654 -0.481945 0.000000 0.000000 0.583085 0.812411
1317354882.046885 -2.656504 5.632775 -0.474482 0.000000 0.000000 0.521619 0.853178
1317354882.151128 -2.570301 5.697507 -0.457480 0.000000 0.000000 0.316508 0.948590
1317354882.255359 -2.600038 5.732290 -0.436174 0.000000 0.000000 0.908248 0.418431
1317354882.359591 -2.691338 5.780575 -0.426498 0.000000 0.000000 0.970564 0.240845
1317354882.463822 -2.627687 5.777798 -0.417218 0.000000 0.000000 -0.021800 0.999762
1317354882.568028 -2.464239 5.635305 -0.401230 0.000000 0.000000 -0.350873 0.936423
1317354882.672234 -2.327594 5.409131 -0.382773 0.000000 0.000000 -0.491372 0.870950
1317354882.776417 -2.251428 5.235528 -0.369336 0.000000 0.000000 -0.546914 0.837189
1317354882.880601 -2.124178 4.974124 -0.361859 0.000000 0.000000 -0.530241 0.847847
1317354882.984808 -2.010779 4.808378 -0.357704 0.000000 0.000000 -0.466549 0.884496
1317354883.089012 -1.912617 4.568090 -0.354832 0.000000 0.000000 -0.557594 0.830114
1317354883.193219 -1.817956 4.329095 -0.353252 0.000000 0.000000 -0.562029 0.827118
1317354883.297427 -1.720720 4.090796 -0.354695 0.000000 0.000000 -0.557763 0.830000
1317354883.401634 -1.569525 3.728245 -0.363053 0.000000 0.000000 -0.554571 0.832137
1317354883.505843 -1.323257 3.116344 -0.371463 0.000000 0.000000 -0.559750 0.828661
1317354883.610049 -1.232512 2.496025 -0.377722 0.000000 0.000000 -0.653932 0.756554
1317354883.714230 -1.209706 1.994527 -0.385080 0.000000 0.000000 -0.690859 0.722990
1317354883.818413 -1.257063 1.553493 -0.388801 0.000000 0.000000 -0.743896 0.668295
1317354883.922598 -1.283466 1.303281 -0.402500 0.000000 0.000000 -0.743283 0.668978
1317354884.026756 -1.275198 1.189566 -0.406629 0.000000 0.000000 -0.680987 0.732296
1317354884.130933 -1.359063 1.255861 -0.410383 0.000000 0.000000 0.944589 0.328257
1317354884.235118 -1.315524 1.165015 -0.403664 0.000000 0.000000 -0.532826 0.846225
1317354884.339279 -1.348502 1.180684 -0.395108 0.000000 0.000000 0.975506 0.219972
1317354884.443464 -1.519469 1.254476 -0.391168 0.000000 0.000000 0.979319 0.202323
1317354884.547668 -1.599386 1.358897 -0.381557 0.000000 0.000000 0.896595 0.442851
1317354884.651874 -1.512839 1.506003 -0.371951 0.000000 0.000000 0.496446 0.868068
1317354884.756080 -1.218952 1.725917 -0.361039 0.000000 0.000000 0.315710 0.948856
1317354884.860288 -0.861547 1.815582 -0.353272 0.000000 0.000000 0.122593 0.992457
1317354884.964518 -0.756384 1.790473 -0.348468 0.000000 0.000000 -0.116920 0.993141
1317354885.068748 -0.794723 1.805290 -0.345447 0.000000 0.000000 0.983046 0.183359
1317354885.172955 -0.953880 1.739067 -0.341017 0.000000 0.000000 -0.980629 0.195873
